"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
135, 2.825500071050000e-01, 5.994005483718394e-02, 9.144796137562340e+04, -4.000442904194191e-01, 7.372870974079018e-01
136, 2.968699932100000e-01, 6.000550062925582e-02, 9.158760211639359e+04, -3.943884979112088e-01, 7.336858192239186e-01
137, 3.113999962810000e-01, 5.997565198183213e-02, 9.170177141220326e+04, -3.897643613995683e-01, 7.296367346133724e-01
138, 3.261100053790000e-01, 5.985254444802346e-02, 9.170023938485552e+04, -3.898264122648669e-01, 7.261107869207174e-01
139, 3.409900069240000e-01, 5.963847719943702e-02, 9.171413346894004e+04, -3.892636677804117e-01, 7.226019018432314e-01
140, 3.560400009160000e-01, 5.933561549045978e-02, 9.175932427386202e+04, -3.874333293382923e-01, 7.188979050615361e-01
141, 3.712300062180000e-01, 5.894684318665333e-02, 9.183334349379921e+04, -3.844353693785029e-01, 7.148078899240744e-01
142, 3.865399956700000e-01, 5.847520956655861e-02, 9.193566628786923e+04, -3.802910452440961e-01, 7.105226179033395e-01
143, 4.019699990750000e-01, 5.792324246601335e-02, 9.205684264815322e+04, -3.753831054345079e-01, 7.060367394074575e-01
144, 4.174999892710000e-01, 5.729416860686566e-02, 9.219662925026452e+04, -3.697214051842179e-01, 7.014900391522014e-01
145, 4.331099987030000e-01, 5.659141825851464e-02, 9.234966765644691e+04, -3.635229743653837e-01, 6.968532676737234e-01
146, 4.487800002100000e-01, 5.581859897363720e-02, 9.251758116299853e+04, -3.567220654963534e-01, 6.922062282719974e-01
147, 4.645099937920000e-01, 5.497835513414191e-02, 9.269723700274801e+04, -3.494455633315335e-01, 6.875313832525130e-01
148, 4.802699983120000e-01, 5.407492053959814e-02, 9.289030956756386e+04, -3.416256508933465e-01, 6.828397617260495e-01
149, 4.960500001910000e-01, 5.311153541819326e-02, 9.309475548075476e+04, -3.333450899497303e-01, 6.781568650042012e-01
150, 5.118399858470000e-01, 5.209138375948307e-02, 9.331132605871046e+04, -3.245734503440908e-01, 6.735266702959953e-01
151, 5.276100039480000e-01, 5.101897737545535e-02, 9.353440849122695e+04, -3.155380646566395e-01, 6.689193806965394e-01
152, 5.433599948880000e-01, 4.989683951066199e-02, 9.376551286421585e+04, -3.061777707040574e-01, 6.644507809016035e-01
153, 5.590599775310000e-01, 4.872955796694115e-02, 9.399915473520994e+04, -2.967147018583591e-01, 6.599662485992804e-01
154, 5.747100114820000e-01, 4.751950934859488e-02, 9.423966276724434e+04, -2.869735366493951e-01, 6.556182909578714e-01
155, 5.902799963950000e-01, 4.627132533375768e-02, 9.448318534957650e+04, -2.771102747593648e-01, 6.512552090208329e-01
156, 6.057599782940000e-01, 4.498807223669178e-02, 9.473330854139348e+04, -2.669796719954033e-01, 6.470699216533953e-01
157, 6.211299896240000e-01, 4.367359094194759e-02, 9.498515237729643e+04, -2.567793789256108e-01, 6.428386285619970e-01
158, 6.363800168040000e-01, 4.233084266562091e-02, 9.524306974782763e+04, -2.463330928063735e-01, 6.388184022394385e-01
159, 6.514999866490000e-01, 4.096270419333766e-02, 9.549999571229196e+04, -2.359269610645382e-01, 6.347484706228380e-01
160, 6.664699912070000e-01, 3.957289370556494e-02, 9.576207017762611e+04, -2.253123024093720e-01, 6.309224731798561e-01
161, 6.812700033190000e-01, 3.816515293304169e-02, 9.602054597923232e+04, -2.148433984618921e-01, 6.270418351360068e-01
162, 6.958900094030001e-01, 3.674225211597043e-02, 9.628421214314915e+04, -2.041642721100524e-01, 6.234123519178079e-01
163, 7.103199958800001e-01, 3.530689307158652e-02, 9.654323369835502e+04, -1.936732638031769e-01, 6.197167826099322e-01
164, 7.245299816130000e-01, 3.386376679305321e-02, 9.680750671091278e+04, -1.829695585929175e-01, 6.162598845157397e-01
165, 7.385200262070000e-01, 3.241453277608040e-02, 9.706721355938123e+04, -1.724507942280389e-01, 6.127306374637967e-01
166, 7.522799968720000e-01, 3.096181144522562e-02, 9.733212414108196e+04, -1.617212659036769e-01, 6.093900247214579e-01
167, 7.657799720760000e-01, 2.951033727360171e-02, 9.759381433216183e+04, -1.511221712983469e-01, 6.060149709207060e-01
168, 7.790099978450000e-01, 2.806276676215449e-02, 9.785882322280883e+04, -1.403886612205315e-01, 6.026964867637421e-01
169, 7.919700145720000e-01, 2.662062628442961e-02, 9.812490177037814e+04, -1.296118274137371e-01, 5.994429592003061e-01
170, 8.046399950980000e-01, 2.518763605296113e-02, 9.839298510725997e+04, -1.187537947224931e-01, 5.961062124330644e-01
171, 8.170099854470000e-01, 2.376642068849115e-02, 9.866636290379122e+04, -1.076813234293408e-01, 5.927661040783765e-01
